"","X","pathID","pathway"
"1","4-AMINOBUTANOATE","map01100","Metabolic pathways"
"2","4-AMINOBUTANOATE","map01120","Microbial metabolism in diverse environments"
"3","4-AMINOBUTANOATE","map00650","Butanoate metabolism"
"4","4-AMINOBUTANOATE","map00250","Alanine, aspartate and glutamate metabolism"
"5","4-AMINOBUTANOATE","map00330","Arginine and proline metabolism"
"6","4-AMINOBUTANOATE","map00410","beta-Alanine metabolism"
"7","4-AMINOBUTANOATE","map00760","Nicotinate and nicotinamide metabolism"
"8","4-AMINOBUTANOATE","map04024","cAMP signaling pathway"
"9","4-AMINOBUTANOATE","map04080","Neuroactive ligand-receptor interaction"
"10","4-AMINOBUTANOATE","map02024","Quorum sensing"
"11","4-AMINOBUTANOATE","map04929","GnRH secretion"
"12","4-AMINOBUTANOATE","map04915","Estrogen signaling pathway"
"13","4-AMINOBUTANOATE","map04727","GABAergic synapse"
"14","4-AMINOBUTANOATE","map04723","Retrograde endocannabinoid signaling"
"15","4-AMINOBUTANOATE","map04721","Synaptic vesicle cycle"
"16","4-AMINOBUTANOATE","map04742","Taste transduction"
"17","4-AMINOBUTANOATE","map05032","Morphine addiction"
"18","4-AMINOBUTANOATE","map05033","Nicotine addiction"
"20","CREATININE","map01100","Metabolic pathways"
"21","CREATININE","map00330","Arginine and proline metabolism"
"22","PHOSPHORYLCHOLINE","map01100","Metabolic pathways"
"23","PHOSPHORYLCHOLINE","map00564","Glycerophospholipid metabolism"
"24","PHOSPHORYLCHOLINE","map00552","Teichoic acid biosynthesis"
"25","PHOSPHORYLCHOLINE","map05231","Choline metabolism in cancer"
"26","N-ACETYLPHENYLALANINE","map01100","Metabolic pathways"
"27","N-ACETYLPHENYLALANINE","map00360","Phenylalanine metabolism"
"28","L-CARNOSINE","map01100","Metabolic pathways"
"29","L-CARNOSINE","map00340","Histidine metabolism"
"30","L-CARNOSINE","map00410","beta-Alanine metabolism"
"32","N-Acetylaspartylglutamic acid","map01100","Metabolic pathways"
"33","N-Acetylaspartylglutamic acid","map00250","Alanine, aspartate and glutamate metabolism"
"34","N-Acetylaspartylglutamic acid","map04080","Neuroactive ligand-receptor interaction"
"35","EPIGALLOCATECHIN","map01100","Metabolic pathways"
"36","EPIGALLOCATECHIN","map01110","Biosynthesis of secondary metabolites"
"37","EPIGALLOCATECHIN","map00941","Flavonoid biosynthesis"
"38","EPIGALLOCATECHIN","map01061","Biosynthesis of phenylpropanoids"
